CODMUN,total_obito,obito_hospital,obito_estab_saude,obito_domicilio,sim_media_peso,qtd_filho_morto,qtd_filho_vivo,sexo_masculino,sexo_feminino,gravidez_unica,gravidez_dupla,gravidez_tripla,esc_0,esc_1,esc_2,esc_3,esc_4,esc_5,parto_vaginal,parto_cesario,raca_branca,raca_preta,raca_amarela,raca_parda,raca_indigena,idade_mae,num_estabelecimentos,total_nascimento,nascimento_hospital,nascimento_estab_saude,nascimento_domicilio,media_consultas,sinasc_media_peso,kotelchuck_1,kotelchuck_2,kotelchuck_3,kotelchuck_4,kotelchuck_5,total_geral,frac_obito_geral
110001,0.0,0.0,0.0,0.0,,0.22857142857142856,1.1142857142857143,0.7714285714285715,0.22857142857142856,1.0,0.0,0.0,0.0,0.05714285714285714,0.17142857142857143,0.5142857142857142,0.08571428571428572,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.2,0.0,0.0,0.6285714285714286,0.14285714285714285,26.65714285714286,2,35.0,1.0,0.0,0.0,8.2,3209.0,0.0,0.14285714285714285,0.11428571428571428,0.05714285714285714,0.6571428571428571,35.0,0.0
110002,19.0,1.0,0.0,0.0,2215.315789473684,0.2528533801580334,0.9205443371378402,0.5245829675153644,0.4754170324846356,0.982001755926251,0.017998244073748903,0.0,0.000877963125548727,0.020632133450395083,0.20061457418788411,0.5184372256365233,0.06584723441615452,0.19271290605794555,0.2726075504828797,0.7273924495171202,0.24231782265144863,0.06628621597892889,0.011852502194907815,0.6773485513608428,0.000877963125548727,26.413959613696225,8,2259.0,0.9982293050022134,0.0008853474988933156,0.0,8.689243027888446,3219.4603806994246,0.0004426737494466578,0.14254094732182382,0.041168658698539175,0.0681717574147853,0.7467906153165117,2278.0,0.008340649692712906
110004,12.0,0.9166666666666666,0.0,0.08333333333333333,2376.1111111111113,0.24168865435356202,0.8422163588390501,0.516622691292876,0.48337730870712403,0.9846965699208443,0.015303430079155673,0.0,0.002638522427440633,0.025857519788918207,0.1546174142480211,0.4395778364116095,0.07546174142480211,0.3013192612137203,0.20422163588390502,0.7952506596306068,0.3150395778364116,0.05593667546174143,0.005277044854881266,0.5757255936675462,0.04643799472295514,27.39472295514512,6,1883.0,0.9899097185342538,0.009559214020180564,0.0005310674455655868,9.10250934329952,3206.3669676048858,0.0,0.09771640998406797,0.04938927243759957,0.06319702602230483,0.7774827403080191,1895.0,0.0063324538258575196
110005,0.0,0.0,0.0,0.0,,0.29457364341085274,1.1007751937984496,0.5736434108527132,0.4263565891472868,1.0,0.0,0.0,0.0,0.007751937984496124,0.18604651162790697,0.5736434108527132,0.03875968992248062,0.1937984496124031,0.06201550387596899,0.937984496124031,0.40310077519379844,0.03875968992248062,0.0,0.5426356589147286,0.0,26.232558139534884,1,129.0,0.9922480620155039,0.0,0.0,8.914728682170542,3358.124031007752,0.0,0.11627906976744186,0.007751937984496124,0.023255813953488372,0.8527131782945736,129.0,0.0
110006,0.0,0.0,0.0,0.0,,0.0,1.4,0.6,0.4,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.6,0.0,24.2,1,5.0,0.4,0.0,0.0,10.0,3176.0,0.0,0.2,0.0,0.0,0.8,5.0,0.0
110007,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0,1.0,0.0,0.0,0.0,9.0,3500.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
110008,1.0,1.0,0.0,0.0,,0.0967741935483871,1.903225806451613,0.5,0.5,1.0,0.0,0.0,0.0,0.03125,0.3125,0.5625,0.0,0.03125,1.0,0.0,0.125,0.125,0.0,0.65625,0.0625,25.774193548387096,1,31.0,0.967741935483871,0.0,0.03225806451612903,6.724137931034483,3150.9,0.0,0.3548387096774194,0.0,0.0967741935483871,0.3548387096774194,32.0,0.03125
110009,0.0,0.0,0.0,0.0,,0.2454308093994778,1.2349869451697129,0.5274151436031331,0.4725848563968668,1.0,0.0,0.0,0.0,0.020887728459530026,0.13054830287206268,0.5378590078328982,0.08093994778067885,0.2297650130548303,0.06266318537859007,0.9373368146214099,0.35509138381201044,0.0731070496083551,0.005221932114882507,0.5613577023498695,0.005221932114882507,26.817232375979113,3,383.0,0.9947780678851175,0.0026109660574412533,0.0,8.412532637075717,3281.007832898172,0.0,0.1906005221932115,0.08093994778067885,0.09138381201044386,0.6370757180156658,383.0,0.0
110010,7.0,0.7142857142857143,0.0,0.14285714285714285,2697.5,0.2894736842105263,1.393640350877193,0.5016429353778752,0.49835706462212487,0.9956188389923329,0.002190580503833516,0.0,0.0032858707557502738,0.04271631982475356,0.3778751369112815,0.4633077765607886,0.04928806133625411,0.0624315443592552,0.5213581599123768,0.4764512595837897,0.03614457831325301,0.001095290251916758,0.0,0.7415115005476451,0.2212486308871851,25.346491228070175,4,906.0,0.9845474613686535,0.0033112582781456954,0.008830022075055188,6.713804713804714,3233.1545253863133,0.016556291390728478,0.2582781456953642,0.0717439293598234,0.04966887417218543,0.2924944812362031,913.0,0.007667031763417305
110011,3.0,0.6666666666666666,0.0,0.0,3800.0,0.20075282308657466,0.9084065244667503,0.5131744040150564,0.4868255959849435,0.9962358845671268,0.002509410288582183,0.0,0.0012547051442910915,0.028858218318695106,0.23086574654956085,0.6185696361355082,0.030112923462986198,0.0890840652446675,0.23212045169385195,0.766624843161857,0.17565872020075282,0.09284818067754078,0.02383939774153074,0.6700125470514429,0.018820577164366373,25.844221105527637,6,794.0,0.9899244332493703,0.006297229219143577,0.0025188916876574307,10.180100755667507,3240.3513853904283,0.0025188916876574307,0.16750629722921914,0.018891687657430732,0.030226700251889168,0.7682619647355163,797.0,0.0037641154328732747
110012,29.0,0.9655172413793104,0.034482758620689655,0.0,1958.962962962963,0.2725615314494075,0.9767547857793983,0.5043240782885753,0.49567592171142466,0.9817933545744196,0.015020482476103778,0.0013654984069185253,0.005461993627674101,0.016841147018661812,0.18161128812016386,0.5161583978152026,0.07874374146563495,0.19845243513882568,0.3049613108784706,0.6936731907146109,0.21893491124260356,0.06099226217569413,0.0027309968138370506,0.6854802002730996,0.029585798816568046,27.070615034168565,6,2168.0,0.9976937269372693,0.00046125461254612545,0.0013837638376383763,9.431281813975012,3221.515221402214,0.0032287822878228783,0.1268450184501845,0.04474169741697417,0.04935424354243542,0.7633763837638377,2197.0,0.013199817933545745
110013,2.0,0.5,0.0,0.0,,0.3343195266272189,1.1390532544378698,0.5457227138643068,0.45427728613569324,0.9823008849557522,0.011799410029498525,0.0,0.0058997050147492625,0.05309734513274336,0.3303834808259587,0.471976401179941,0.02359882005899705,0.04424778761061947,0.4336283185840708,0.56047197640118,0.10324483775811209,0.017699115044247787,0.035398230088495575,0.8377581120943953,0.0,24.875739644970412,1,337.0,0.9940652818991098,0.0,0.002967359050445104,9.431547619047619,3181.1691394658756,0.0,0.1543026706231454,0.026706231454005934,0.08011869436201781,0.7240356083086054,339.0,0.0058997050147492625
110014,1.0,1.0,0.0,0.0,2585.0,0.26842105263157895,0.868421052631579,0.5368421052631579,0.4631578947368421,0.9947368421052631,0.0,0.0,0.0,0.042105263157894736,0.24210526315789474,0.5526315789473685,0.031578947368421054,0.13157894736842105,0.04736842105263158,0.9526315789473684,0.23684210526315788,0.07368421052631578,0.010526315789473684,0.6736842105263158,0.0,26.121052631578948,1,189.0,1.0,0.0,0.0,9.111702127659575,3203.6243386243386,0.0,0.13756613756613756,0.015873015873015872,0.021164021164021163,0.8095238095238095,190.0,0.005263157894736842
110015,15.0,1.0,0.0,0.0,1911.2142857142858,0.2681818181818182,0.8381818181818181,0.5258386219401632,0.4741613780598368,0.9737080689029919,0.025385312783318223,0.0,0.001813236627379873,0.019945602901178604,0.15684496826835903,0.499546690843155,0.07796917497733455,0.24025385312783318,0.08340888485947416,0.915684496826836,0.2701722574796011,0.03989120580235721,0.02901178603807797,0.6527651858567544,0.001813236627379873,27.76657584014532,4,1088.0,0.9935661764705882,0.003676470588235294,0.0009191176470588235,9.047222222222222,3147.434742647059,0.0,0.09650735294117647,0.05330882352941176,0.07261029411764706,0.7674632352941176,1103.0,0.013599274705349048
110018,2.0,0.5,0.0,0.5,3815.0,0.27529761904761907,1.03125,0.49851190476190477,0.5014880952380952,0.9970238095238095,0.002976190476190476,0.0,0.0,0.01636904761904762,0.16071428571428573,0.5803571428571429,0.06696428571428571,0.17559523809523808,0.12797619047619047,0.8720238095238095,0.24851190476190477,0.06696428571428571,0.0,0.6755952380952381,0.004464285714285714,26.71577380952381,2,670.0,0.9865671641791045,0.011940298507462687,0.0,9.109118086696562,3246.902985074627,0.0014925373134328358,0.11044776119402985,0.03731343283582089,0.07313432835820896,0.7716417910447761,672.0,0.002976190476190476
110020,166.0,0.9698795180722891,0.0,0.012048192771084338,1803.948717948718,0.29000140232786425,1.2364324779133362,0.5142476697736351,0.4854860186418109,0.96271637816245,0.030758988015978695,0.0006657789613848203,0.0018641810918774966,0.0203728362183755,0.20173102529960052,0.4997336884154461,0.06524633821571238,0.15685752330226366,0.4181091877496671,0.5770972037283622,0.09454061251664447,0.020505992010652462,0.002796271637816245,0.8051930758988016,0.005725699067909454,27.154788863727187,15,7344.0,0.9949618736383442,0.0005446623093681918,0.003540305010893246,8.171508903467666,3114.3611111111113,0.0002723311546840959,0.13480392156862744,0.042075163398692814,0.03826252723311547,0.36887254901960786,7510.0,0.022103861517976033
110025,0.0,0.0,0.0,0.0,,0.20945945945945946,1.027027027027027,0.5472972972972973,0.4527027027027027,0.9864864864864865,0.013513513513513514,0.0,0.0,0.02027027027027027,0.16216216216216217,0.6824324324324325,0.07432432432432433,0.060810810810810814,0.14864864864864866,0.8513513513513513,0.27702702702702703,0.0472972972972973,0.0,0.6756756756756757,0.0,26.56081081081081,1,148.0,1.0,0.0,0.0,8.554054054054054,3226.9932432432433,0.006756756756756757,0.0945945945945946,0.06756756756756757,0.11486486486486487,0.7094594594594594,148.0,0.0
110026,0.0,0.0,0.0,0.0,,0.3333333333333333,4.333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,30.0,1,3.0,1.0,0.0,0.0,4.333333333333333,2845.0,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,0.0
110028,7.0,0.7142857142857143,0.0,0.14285714285714285,1027.0,0.2391681109185442,1.040727902946274,0.5271816881258942,0.4728183118741059,0.9814020028612304,0.017167381974248927,0.0,0.005007153075822604,0.015736766809728183,0.18955650929899856,0.438483547925608,0.04721030042918455,0.12374821173104435,0.07296137339055794,0.9256080114449213,0.22317596566523606,0.04864091559370529,0.006437768240343348,0.6666666666666666,0.031473533619456366,26.169175627240143,3,1391.0,0.9985621854780733,0.0014378145219266715,0.0,9.814569536423841,3174.3026599568657,0.0007189072609633358,0.10567936736161035,0.03163191948238677,0.04888569374550683,0.7872034507548527,1398.0,0.005007153075822604
110030,5.0,1.0,0.0,0.0,2779.0,0.2602065912444663,1.0054107230693556,0.5066404328578455,0.49335956714215445,0.9813084112149533,0.01819970486965076,0.0,0.0,0.013280865715691098,0.16871618298081653,0.5154943433349729,0.07033939990162322,0.23167732415150025,0.40826364977865226,0.5912444663059518,0.2951303492375799,0.057550418101328084,0.002459419576979833,0.6212493851451057,0.018691588785046728,26.794392523364486,2,2028.0,0.997534516765286,0.0,0.0004930966469428008,9.803254437869823,3222.9787968441815,0.0009861932938856016,0.17406311637080868,0.04684418145956608,0.028106508875739646,0.7470414201183432,2033.0,0.002459419576979833
110032,1.0,1.0,0.0,0.0,700.0,0.2652439024390244,0.9420731707317073,0.5304878048780488,0.4695121951219512,1.0,0.0,0.0,0.0,0.042682926829268296,0.16158536585365854,0.6219512195121951,0.036585365853658534,0.13719512195121952,0.09146341463414634,0.9085365853658537,0.23170731707317074,0.09451219512195122,0.012195121951219513,0.6280487804878049,0.01524390243902439,25.71951219512195,1,327.0,1.0,0.0,0.0,8.205521472392638,3185.663608562691,0.0030581039755351682,0.11314984709480122,0.03363914373088685,0.0856269113149847,0.7614678899082569,328.0,0.003048780487804878
110033,1.0,1.0,0.0,0.0,,0.3897058823529412,1.6323529411764706,0.47058823529411764,0.5294117647058824,0.9852941176470589,0.014705882352941176,0.0,0.0,0.0661764705882353,0.38235294117647056,0.47794117647058826,0.022058823529411766,0.051470588235294115,0.2867647058823529,0.7132352941176471,0.11764705882352941,0.03676470588235294,0.007352941176470588,0.8088235294117647,0.007352941176470588,25.610294117647058,1,135.0,0.9629629629629629,0.0,0.022222222222222223,7.894736842105263,3290.4592592592594,0.014814814814814815,0.26666666666666666,0.022222222222222223,0.05185185185185185,0.6222222222222222,136.0,0.007352941176470588
110034,0.0,0.0,0.0,0.0,,0.2578125,0.8515625,0.5234375,0.4765625,1.0,0.0,0.0,0.0,0.0390625,0.2265625,0.6171875,0.03125,0.0859375,0.1015625,0.8984375,0.2890625,0.0234375,0.0,0.6875,0.0,26.1640625,1,128.0,1.0,0.0,0.0,8.724137931034482,3139.8515625,0.0078125,0.125,0.015625,0.046875,0.7109375,128.0,0.0
110037,0.0,0.0,0.0,0.0,,0.5,1.75,0.25,0.75,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.75,0.0,24.75,1,4.0,1.0,0.0,0.0,8.0,2675.0,0.0,0.0,0.25,0.0,0.75,4.0,0.0
110040,2.0,0.0,0.0,0.5,2900.0,0.125,1.875,0.375,0.625,1.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,1.0,0.0,0.125,0.125,0.0,0.75,0.0,23.5,1,6.0,0.8333333333333334,0.0,0.16666666666666666,9.0,3386.3333333333335,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,8.0,0.25
110045,2.0,1.0,0.0,0.0,1072.5,0.25203252032520324,1.0121951219512195,0.5067750677506775,0.4932249322493225,0.997289972899729,0.0027100271002710027,0.0,0.0027100271002710027,0.05962059620596206,0.27100271002710025,0.5447154471544715,0.04336043360433604,0.07723577235772358,0.15040650406504066,0.8495934959349594,0.1897018970189702,0.028455284552845527,0.0013550135501355014,0.7357723577235772,0.0,25.799457994579946,3,736.0,0.9891304347826086,0.0,0.006793478260869565,8.785034013605442,3228.7703804347825,0.001358695652173913,0.13043478260869565,0.05298913043478261,0.06929347826086957,0.7418478260869565,738.0,0.0027100271002710027
110050,0.0,0.0,0.0,0.0,,0.0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,25.5,1,2.0,1.0,0.0,0.0,5.0,3382.5,0.0,0.5,0.0,0.5,0.0,2.0,0.0
110070,1.0,1.0,0.0,0.0,3650.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,25.666666666666668,1,2.0,1.0,0.0,0.0,10.0,3815.0,0.0,0.5,0.0,0.0,0.5,3.0,0.3333333333333333
110080,1.0,1.0,0.0,0.0,3500.0,0.18181818181818182,3.0,0.6363636363636364,0.36363636363636365,1.0,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0,1.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.5454545454545454,0.0,26.0,2,10.0,0.5,0.2,0.2,4.8,3512.5,0.0,0.5,0.2,0.0,0.2,11.0,0.09090909090909091
110092,0.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,1.0,0.0,0.0,1.0,,2880.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110094,1.0,0.0,0.0,0.0,,0.18181818181818182,1.9090909090909092,0.4166666666666667,0.5833333333333334,0.9166666666666666,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,26.454545454545453,1,11.0,1.0,0.0,0.0,8.545454545454545,3070.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.6363636363636364,12.0,0.08333333333333333
110100,0.0,0.0,0.0,0.0,,0.0,1.25,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.75,0.0,19.0,1,4.0,1.0,0.0,0.0,7.75,2435.0,0.0,0.0,0.25,0.25,0.25,4.0,0.0
110110,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.5,0,2.0,0.0,0.0,0.0,11.5,3182.5,0.0,0.0,0.0,0.0,1.0,2.0,0.0
110130,0.0,0.0,0.0,0.0,,0.19672131147540983,0.8688524590163934,0.4426229508196721,0.5573770491803278,1.0,0.0,0.0,0.0,0.04918032786885246,0.19672131147540983,0.6721311475409836,0.01639344262295082,0.06557377049180328,0.03278688524590164,0.9672131147540983,0.21311475409836064,0.03278688524590164,0.0,0.7377049180327869,0.0,26.459016393442624,2,61.0,1.0,0.0,0.0,8.508196721311476,3209.311475409836,0.0,0.14754098360655737,0.0,0.06557377049180328,0.7704918032786885,61.0,0.0
110140,1.0,0.0,0.0,0.0,,0.0,1.1666666666666667,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,23.4,1,5.0,1.0,0.0,0.0,8.6,2977.0,0.0,0.0,0.0,0.2,0.6,6.0,0.16666666666666666
